Entity,Type,http://xmlns.com/foaf/0.1/firstName,http://xmlns.com/foaf/0.1/surname,[full name]
http://lexbib.org/agents/person#MeyerPeter,NamedIndividual,Peter,Meyer,Peter Meyer
http://lexbib.org/agents/person#MileticAleksandra,NamedIndividual,Aleksandra,Miletic,Aleksandra Miletic
http://lexbib.org/agents/person#MitsiakiMaria,NamedIndividual,Maria,Mitsiaki,Maria Mitsiaki
http://lexbib.org/agents/person#MohrsChristine,NamedIndividual,Christine,Möhrs,Christine Möhrs
http://lexbib.org/agents/person#MullerAnke,NamedIndividual,Anke,Müller,Anke Müller
http://lexbib.org/agents/person#MullerSpitzerCarolin,NamedIndividual,Carolin,Müller-Spitzer,Carolin Müller-Spitzer
http://lexbib.org/agents/person#MutterChristina,NamedIndividual,Christina,Mutter,Christina Mutter
http://lexbib.org/agents/person#NadaraiaDavid,NamedIndividual,David,Nadaraia,David Nadaraia
http://lexbib.org/agents/person#NavigliRoberto,NamedIndividual,Roberto,Navigli,Roberto Navigli
http://lexbib.org/agents/person#NesiHilary,NamedIndividual,Hilary,Nesi,Hilary Nesi
http://lexbib.org/agents/person#NiedCurcioMartina,NamedIndividual,Martina,Nied Curcio,Martina Nied Curcio
http://lexbib.org/agents/person#NikolaouGeorgia,NamedIndividual,Georgia,Nikolaou,Georgia Nikolaou
http://lexbib.org/agents/person#NimbSanni,NamedIndividual,Sanni,Nimb,Sanni Nimb
http://lexbib.org/agents/person#NovaJana,NamedIndividual,Jana,Nová,Jana Nová
http://lexbib.org/agents/person#PanocovaRenata,NamedIndividual,Renáta,Panocová,Renáta Panocová
http://lexbib.org/agents/person#PedersenBoletteSandford,NamedIndividual,Bolette Sandford,Pedersen,Bolette Sandford Pedersen
http://lexbib.org/agents/person#PereplotchykovaSvitlana,NamedIndividual,Svitlana,Pereplotchykova,Svitlana Pereplotchykova
http://lexbib.org/agents/person#PerkuhnRainer,NamedIndividual,Rainer,Perkuhn,Rainer Perkuhn
http://lexbib.org/agents/person#PopovAndrey,NamedIndividual,Andrey,Popov,Andrey Popov
http://lexbib.org/agents/person#PortaZamoranoJordi,NamedIndividual,Jordi,Porta-Zamorano,Jordi Porta-Zamorano
http://lexbib.org/agents/person#PourtskhvanidzeZakharia,NamedIndividual,Zakharia,Pourtskhvanidze,Zakharia Pourtskhvanidze
http://lexbib.org/agents/person#RambousekAdam,NamedIndividual,Adam,Rambousek,Adam Rambousek
http://lexbib.org/agents/person#ReesGeraintPaul,NamedIndividual,Geraint Paul,Rees,Geraint Paul Rees
http://lexbib.org/agents/person#ReimerinkArianne,NamedIndividual,Arianne,Reimerink,Arianne Reimerink
http://lexbib.org/agents/person#RippSaskia,NamedIndividual,Saskia,Ripp,Saskia Ripp
http://lexbib.org/agents/person#RobertsJonathanC,NamedIndividual,Jonathan C.,Roberts,Jonathan C. Roberts
http://lexbib.org/agents/person#RobnikSikonjaMarko,NamedIndividual,Marko,Robnik-Šikonja,Marko Robnik-Šikonja
http://lexbib.org/agents/person#RueterJack,NamedIndividual,Jack,Rueter,Jack Rueter
http://lexbib.org/agents/person#RundellMichael,NamedIndividual,Michael,Rundell,Michael Rundell
http://lexbib.org/agents/person#SaboOlga,NamedIndividual,Olga,Sabo,Olga Sabo
http://lexbib.org/agents/person#SanMartinAntonio,NamedIndividual,Antonio,San Martín,Antonio San Martín
http://lexbib.org/agents/person#SauriRoser,NamedIndividual,Roser,Saurí,Roser Saurí
http://lexbib.org/agents/person#SchierholzStefanJ,NamedIndividual,Stefan J.,Schierholz,Stefan J. Schierholz
http://lexbib.org/agents/person#SchutzNatassia,NamedIndividual,Natassia,Schutz,Natassia Schutz
http://lexbib.org/agents/person#ShapiroRichard,NamedIndividual,Richard,Shapiro,Richard Shapiro
http://lexbib.org/agents/person#SharmaNirwan,NamedIndividual,Nirwan,Sharma,Nirwan Sharma
http://lexbib.org/agents/person#SiegelJasonF,NamedIndividual,Jason F.,Siegel,Jason F. Siegel
http://lexbib.org/agents/person#SilvaDiasIdaleteMaria,NamedIndividual,Idalete Maria,Silva Dias,Idalete Maria Silva Dias
http://lexbib.org/agents/person#SkadinaInguna,NamedIndividual,Inguna,Skadiņa,Inguna Skadiņa
